timestamp,cpu_percent,mem_pss_kb
2026-02-06 17:35:05,38.70,135252
2026-02-06 17:35:08,44.80,138196
2026-02-06 17:35:10,32.20,139916
2026-02-06 17:35:13,31.20,142960
2026-02-06 17:35:15,37.50,146868
2026-02-06 17:35:17,35.40,148732
2026-02-06 17:35:20,29.00,141840
2026-02-06 17:35:22,67.70,213912
2026-02-06 17:35:24,84.30,239932
2026-02-06 17:35:25,72.70,241808
2026-02-06 17:35:27,80.60,243104
2026-02-06 17:35:29,80.60,244120
2026-02-06 17:35:32,83.80,246676
2026-02-06 17:35:34,77.40,247580
2026-02-06 17:35:39,74.10,236892
2026-02-06 17:35:41,83.80,237524
2026-02-06 17:35:45,76.60,244920
2026-02-06 17:35:50,3.30,270904
2026-02-06 17:35:51,0.00,271088
2026-02-06 17:35:53,0.00,271088
2026-02-06 17:35:55,0.00,271040
2026-02-06 17:35:56,0.00,271040
2026-02-06 17:35:58,3.40,271040
2026-02-06 17:36:00,3.30,258196
2026-02-06 17:36:01,0.00,258196
2026-02-06 17:36:03,6.80,258196
2026-02-06 17:36:04,0.00,258176
2026-02-06 17:36:06,36.60,259924
2026-02-06 17:36:08,0.00,259924
2026-02-06 17:36:09,3.40,259924
2026-02-06 17:36:11,145.00,251512
2026-02-06 17:36:13,132.00,255672
2026-02-06 17:36:14,166.00,260600
2026-02-06 17:36:16,106.00,259772
2026-02-06 17:36:21,13.70,326596
2026-02-06 17:36:23,6.80,323676
2026-02-06 17:36:25,46.40,288936
2026-02-06 17:36:26,10.30,290112
2026-02-06 17:36:28,3.40,289832
2026-02-06 17:36:30,3.50,289832
2026-02-06 17:36:33,0.00,290720
2026-02-06 17:36:35,58.60,290912
2026-02-06 17:36:37,20.60,291012
2026-02-06 17:36:38,3.40,291524
2026-02-06 17:36:40,3.40,291628
2026-02-06 17:36:42,20.00,291840
2026-02-06 17:36:43,3.30,293072
2026-02-06 17:36:45,3.40,293208
2026-02-06 17:36:47,7.10,294348
2026-02-06 17:36:48,3.40,293840
2026-02-06 17:36:50,6.80,289412
2026-02-06 17:36:52,3.40,289412
2026-02-06 17:36:53,55.10,302264
2026-02-06 17:36:55,70.50,352664
2026-02-06 17:36:57,97.20,320604
2026-02-06 17:36:59,80.60,312972
2026-02-06 17:37:04,81.50,300732
2026-02-06 17:37:06,105.00,290752
2026-02-06 17:37:10,87.50,282524
2026-02-06 17:37:12,87.00,277172
2026-02-06 17:37:16,76.60,279068
2026-02-06 17:37:18,90.30,280320
2026-02-06 17:37:19,81.20,285032
2026-02-06 17:37:21,96.80,286432
2026-02-06 17:37:23,100.00,288088
2026-02-06 17:37:25,65.50,290216
2026-02-06 17:37:26,100.00,292332
2026-02-06 17:37:28,83.30,293432
